Experiment: Odd Ball Expt
Normal sound: 500 Hz
Odd sound: 1000 Hz
Marker for normal sound: 5
Marker for odd sound: 7
Marker for correct click: 1
Marker for incorrect click: 0
 
Sound,Response,Result
5,Click,0
5,No Click,1
7,Click,1
7,No click,0
 
Sl No,Sound Present Time,Beat Type,Response Type,Key Press Time,Response Time
1,2019-07-17T12:30:03.472175,5,1,2019-07-17T12:30:05.472312,2
2,2019-07-17T12:30:06.752398,5,1,2019-07-17T12:30:08.752577,2
3,12:30:09.673817,7,1,12:30:10.508586,0.8347687721252441
4,12:30:11.869098,7,1,12:30:11.869098,0.0
5,12:30:12.190239,7,1,12:30:12.453535,0.26329588890075684
6,2019-07-17T12:30:12.734818,5,0,2019-07-17T12:30:12.734818,0.0
7,12:30:12.856459,7,1,12:30:12.866433,0.009973764419555664
8,2019-07-17T12:30:13.786924,5,0,2019-07-17T12:30:13.786924,0.0
9,2019-07-17T12:30:14.388824,5,0,2019-07-17T12:30:14.388824,0.0
10,2019-07-17T12:30:14.910954,5,0,2019-07-17T12:30:14.935888,0.024934053421020508
11,2019-07-17T12:30:16.537651,5,0,2019-07-17T12:30:16.538651,0.0010004043579101562
