Experiment: Odd Ball Expt
Normal sound: 500 Hz
Odd sound: 1000 Hz
Marker for normal sound: 5
Marker for odd sound: 7
Marker for correct click: 1
Marker for incorrect click: 0
 
Sound,Response,Result
5,CLick,0
5,No CLick,1
7,CLick,1
7,No CLick,0
 
Sl No,Sound Present Time,Beat Type,Response Type,Key Press Time,Response Time
1,13:51:40.349794,7,0,13:51:42.349887,2
2,2019-07-15T13:51:45.016471,5,1,2019-07-15T13:51:47.016625,2
3,13:51:50.101750,7,0,13:51:52.102566,2
4,13:51:54.253908,7,0,13:51:56.254422,2
5,2019-07-15T13:51:59.466745,5,1,2019-07-15T13:52:01.467591,2
6,2019-07-15T13:52:04.669515,5,1,2019-07-15T13:52:06.669826,2
7,13:52:10.271757,7,0,13:52:12.272706,2
8,13:52:14.396033,7,0,13:52:16.396625,2
9,2019-07-15T13:52:18.442609,5,1,2019-07-15T13:52:20.442967,2
10,2019-07-15T13:52:23.246226,5,1,2019-07-15T13:52:25.246388,2
11,13:52:28.331416,7,0,13:52:30.332191,2
12,2019-07-15T13:52:34.261972,5,1,2019-07-15T13:52:36.262431,2
13,13:52:39.513060,7,0,13:52:41.513712,2
14,2019-07-15T13:52:43.882978,5,1,2019-07-15T13:52:45.883573,2
15,2019-07-15T13:52:48.169063,5,1,2019-07-15T13:52:50.169943,2
16,13:52:53.892530,7,0,13:52:55.892619,2
17,2019-07-15T13:52:58.098557,5,1,2019-07-15T13:53:00.099329,2
18,13:53:02.300978,7,0,13:53:04.301187,2
19,13:53:07.470184,7,0,13:53:09.470350,2
20,13:53:13.191779,7,0,13:53:15.191983,2
21,13:53:18.363493,7,0,13:53:20.364376,2
22,2019-07-15T13:53:24.210143,5,1,2019-07-15T13:53:26.210805,2
